Time,TAvgFluid
0,282.90744
3600,284.05737
7200,283.94305
10800,283.8616
14400,283.8054
18000,283.76355
21600,283.73535
25200,283.71527
28800,283.097
32400,283.31894
36000,283.18912
39600,283.00235
43200,283.11078
46800,283.16
50400,283.18008
54000,283.07404
57600,283.0784
61200,283.0726
64800,283.6413
68400,283.56857
72000,283.57446
75600,283.58643
79200,283.5916
82800,283.59344
86400,283.5911
90000,283.58942
93600,283.58893
97200,283.58972
100800,283.59555
104400,283.60492
108000,283.61456
111600,283.62164
115200,282.9958
118800,283.2598
122400,283.27844
126000,283.28616
129600,283.3412
133200,283.34042
136800,283.395
140400,283.3516
144000,283.34283
147600,283.26636
151200,283.73648
154800,283.72415
158400,283.72516
162000,283.7281
165600,283.729
169200,283.72366
172800,283.71423
176400,283.70676
180000,283.70102
183600,283.69724
187200,283.69208
190800,283.68356
194400,283.67816
198000,283.67123
201600,283.6661
205200,283.6678
208800,283.67688
212400,283.68832
216000,283.7002
219600,283.68887
223200,283.65546
226800,283.6253
230400,283.60324
234000,283.58838
237600,283.577
241200,283.56647
244800,283.55582
248400,283.54028
252000,283.52847
255600,283.5237
259200,283.51703
262800,283.5088
266400,283.50394
270000,283.5006
273600,283.4946
277200,283.49374
280800,283.49512
284400,283.49094
288000,283.48547
291600,283.4932
295200,283.52628
298800,283.59525
302400,283.66815
306000,283.7137
309600,283.72327
313200,283.69974
316800,283.6312
320400,283.58154
324000,283.5575
327600,283.54175
331200,283.53046
334800,283.52255
338400,283.51608
342000,283.50607
345600,283.49414
349200,283.48453
352800,283.47214
356400,283.4646
360000,283.46176
363600,283.45825
367200,283.4547
370800,283.45016
374400,282.8388
378000,283.0853
381600,283.04538
385200,282.93356
388800,282.9526
392400,282.97992
396000,283.0072
399600,282.93387
403200,282.93478
406800,282.91507
410400,283.48523
414000,283.41953
417600,283.42355
421200,283.4341
424800,283.43594
428400,283.43497
432000,283.42792
435600,283.42105
439200,283.41415
442800,283.41092
446400,283.41287
450000,283.414
453600,283.41217
457200,283.41132
460800,283.4115
464400,283.41663
468000,283.4348
471600,283.4373
475200,283.43692
478800,283.4445
482400,283.44687
486000,283.4492
489600,283.43768
493200,283.42508
496800,283.42053
500400,283.41397
504000,283.40768
507600,283.39877
511200,283.38797
514800,283.3805
518400,283.37198
522000,283.3608
525600,283.34915
529200,283.34198
532800,283.33792
536400,283.32803
540000,283.31644
543600,283.30255
547200,283.29037
550800,283.31168
554400,283.36328
558000,283.3939
561600,283.41034
565200,283.41272
568800,283.407
572400,283.39584
576000,283.36783
579600,283.34497
583200,283.33292
586800,283.32104
590400,283.31116
594000,283.30234
597600,283.29678
601200,283.29166
604800,283.28574
608400,283.281
612000,283.27792
615600,283.27563
619200,283.27463
622800,283.27127
626400,283.2652
630000,283.25708
633600,282.67535
637200,282.88208
640800,282.82468
644400,282.67563
648000,282.73145
651600,282.77643
655200,282.7904
658800,282.71292
662400,282.70187
666000,282.69928
669600,283.3045
673200,283.2031
676800,283.2131
680400,283.22467
684000,283.2261
687600,283.22543
691200,283.2249
694800,283.2237
698400,283.2218
702000,283.21936
705600,283.217
709200,283.21515
712800,283.21335
716400,283.21225
720000,282.62708
723600,282.81775
727200,282.7331
730800,282.5763
734400,282.68878
738000,282.75403
741600,282.77136
745200,282.6739
748800,282.66708
752400,282.66678
756000,283.26788
759600,283.16785
763200,283.17136
766800,283.17938
770400,283.17807
774000,283.1744
777600,283.17096
781200,283.17166
784800,283.1734
788400,283.17618
792000,283.18158
795600,283.19067
799200,283.1992
802800,283.20547
806400,283.21347
810000,283.22763
813600,283.24857
817200,283.26538
820800,283.27948
824400,283.2905
828000,283.3005
831600,283.30533
835200,283.3076
838800,283.31122
842400,283.3184
846000,283.33032
849600,283.34732
853200,283.36414
856800,283.37793
860400,283.38657
864000,283.38586
867600,283.38165
871200,283.37985
874800,283.37894
878400,283.376
882000,283.37592
885600,283.37747
889200,283.37045
892800,283.3642
896400,283.37625
900000,283.40277
903600,283.42767
907200,283.45172
910800,283.50067
914400,283.5491
918000,283.555
921600,283.5105
925200,283.47025
928800,283.4489
932400,283.4379
936000,283.41653
939600,283.39758
943200,283.39417
946800,283.38367
950400,283.3721
954000,283.36215
957600,283.3537
961200,283.34723
964800,283.34213
968400,283.33655
972000,283.32864
975600,283.3193
979200,282.70172
982800,282.97034
986400,283.03973
990000,283.03467
993600,283.0397
997200,283.0956
1000800,283.13977
1004400,283.08496
1008000,283.0551
1011600,282.97418
1015200,283.4935
1018800,283.43417
1022400,283.41962
1026000,283.42407
1029600,283.42072
1033200,283.41565
1036800,283.4129
1040400,283.41074
1044000,283.4059
1047600,283.4005
1051200,283.40228
1054800,283.41428
1058400,283.43176
1062000,283.44562
1065600,283.45596
1069200,283.46774
1072800,283.48233
1076400,283.50116
1080000,283.52182
1083600,283.53644
1087200,283.54526
1090800,283.54764
1094400,283.5394
1098000,283.53046
1101600,283.52908
1105200,283.52173
1108800,283.51248
1112400,283.51074
1116000,283.5097
1119600,283.51166
1123200,283.5186
1126800,283.52725
1130400,283.5333
1134000,283.5319
1137600,283.5248
1141200,283.5188
1144800,283.51004
1148400,283.4997
1152000,283.49368
1155600,283.49512
1159200,283.5102
1162800,283.53296
1166400,283.5525
1170000,283.58102
1173600,283.5802
1177200,283.56647
1180800,283.53833
1184400,283.50912
1188000,283.48914
1191600,283.47284
1195200,283.46695
1198800,283.46194
1202400,283.4585
1206000,283.45425
1209600,283.45096
1213200,283.45084
1216800,283.4505
1220400,283.44827
1224000,283.4415
1227600,283.43384
1231200,283.43497
1234800,283.43762
1238400,282.8005
1242000,283.07224
1245600,283.1044
1249200,283.09967
1252800,283.0669
1256400,283.07333
1260000,283.1466
1263600,283.09085
1267200,283.0652
1270800,282.98587
1274400,283.50623
1278000,283.44464
1281600,283.42758
1285200,283.42844
1288800,283.42395
1292400,283.42142
1296000,283.41876
1299600,283.4121
1303200,283.40808
1306800,283.4071
1310400,283.4034
1314000,283.3977
1317600,283.39163
1321200,283.3837
1324800,282.74716
1328400,283.0016
1332000,283.03088
1335600,282.99088
1339200,283.06247
1342800,283.07413
1346400,283.11926
1350000,283.0317
1353600,283.0152
1357200,282.95297
1360800,283.47208
1364400,283.39777
1368000,283.3767
1371600,283.37378
1375200,283.36716
1378800,283.3638
1382400,283.36078
1386000,283.35474
1389600,283.3452
1393200,283.33652
1396800,283.3311
1400400,283.32687
1404000,283.32474
1407600,283.32373
1411200,283.32462
1414800,283.3448
1418400,283.39987
1422000,283.41412
1425600,283.41382
1429200,283.41556
1432800,283.41483
1436400,283.4102
1440000,283.39355
1443600,283.37814
1447200,283.36786
1450800,283.3541
1454400,283.33746
1458000,283.32452
1461600,283.31396
1465200,283.30963
1468800,283.30762
1472400,283.30453
1476000,283.3054
1479600,283.3072
1483200,283.30777
1486800,283.3091
1490400,283.30984
1494000,283.30954
1497600,283.31564
1501200,283.33047
1504800,283.35486
1508400,283.38208
1512000,283.40298
1515600,283.42548
1519200,283.4469
1522800,283.46365
1526400,283.47162
1530000,283.4736
1533600,283.47916
1537200,283.48407
1540800,283.48456
1544400,283.485
1548000,283.487
1551600,283.48654
1555200,283.48602
1558800,283.48822
1562400,283.49124
1566000,283.4928
1569600,283.49362
1573200,283.49524
1576800,283.49594
1580400,283.4934
1584000,282.8368
1587600,283.12872
1591200,283.21927
1594800,283.28845
1598400,283.2012
1602000,283.17136
1605600,283.28644
1609200,283.28802
1612800,283.25958
1616400,283.14874
1620000,283.5894
1623600,283.58853
1627200,283.54926
1630800,283.53076
1634400,283.52023
1638000,283.5108
1641600,283.50064
1645200,283.48904
1648800,283.47766
1652400,283.46964
1656000,283.46133
1659600,283.4518
1663200,283.44244
1666800,283.43195
1670400,283.42532
1674000,283.458
1677600,283.55057
1681200,283.63904
1684800,283.70178
1688400,283.7456
1692000,283.76135
1695600,283.74136
1699200,283.69244
1702800,283.63232
1706400,283.59973
1710000,283.5752
1713600,283.55963
1717200,283.54892
1720800,283.5362
1724400,283.525
1728000,283.51428
1731600,283.5014
1735200,283.4884
1738800,283.47644
1742400,283.4676
1746000,283.4663
1749600,283.4683
1753200,283.46848
1756800,283.4667
1760400,283.47488
1764000,283.50198
1767600,283.5419
1771200,283.54166
1774800,283.53766
1778400,283.5394
1782000,283.53915
1785600,283.5262
1789200,283.51712
1792800,283.51495
1796400,283.511
1800000,283.50592
1803600,283.49966
1807200,283.49307
1810800,283.4872
1814400,283.4824
1818000,283.4737
1821600,283.46515
1825200,283.457
1828800,283.44867
1832400,283.44302
1836000,283.4331
1839600,283.41754
1843200,282.77682
1846800,283.05984
1850400,283.10638
1854000,283.08884
1857600,283.17252
1861200,283.1394
1864800,283.1919
1868400,283.1561
1872000,283.12378
1875600,283.03458
1879200,283.52893
1882800,283.49457
1886400,283.47922
1890000,283.4893
1893600,283.4958
1897200,283.50275
1900800,283.51147
1904400,283.51907
1908000,283.52454
1911600,283.52768
1915200,283.5276
1918800,283.52432
1922400,283.51767
1926000,283.50635
1929600,282.84656
1933200,283.11392
1936800,283.1468
1940400,283.16522
1944000,283.1862
1947600,283.24005
1951200,283.30438
1954800,283.25726
1958400,283.22638
1962000,283.13107
1965600,283.57574
1969200,283.56146
1972800,283.5457
1976400,283.5316
1980000,283.5184
1983600,283.50964
1987200,283.50015
1990800,283.487
1994400,283.47574
1998000,283.4692
2001600,283.46417
2005200,283.45084
2008800,283.43707
2012400,283.42322
2016000,283.4138
2019600,283.43494
2023200,283.49716
2026800,283.5223
2030400,283.5584
2034000,283.58282
2037600,283.5601
2041200,283.52728
2044800,283.4902
2048400,283.44867
2052000,283.41797
2055600,283.39954
2059200,283.38458
2062800,283.37366
2066400,283.36914
2070000,283.36957
2073600,283.37274
2077200,283.36356
2080800,283.35303
2084400,283.35068
2088000,283.3414
2091600,283.33615
2095200,283.33548
2098800,283.33063
2102400,283.3297
2106000,283.33163
2109600,283.3711
2113200,283.46313
2116800,283.49933
2120400,283.5473
2124000,283.57056
2127600,283.53177
2131200,283.48224
2134800,283.43875
2138400,283.41278
2142000,283.39124
2145600,283.36777
2149200,283.35263
2152800,283.3397
2156400,283.32697
2160000,283.3157
2163600,283.3075
2167200,283.29932
2170800,283.28345
2174400,283.27783
2178000,283.27353
2181600,283.26233
2185200,283.25125
2188800,282.64725
2192400,282.91525
2196000,282.9073
2199600,282.83813
2203200,283.0236
2206800,283.07788
2210400,283.0853
2214000,282.99707
2217600,282.9633
2221200,282.8735
2224800,283.41028
2228400,283.31058
2232000,283.28342
2235600,283.26843
2239200,283.24963
2242800,283.23285
2246400,283.21564
2250000,283.20532
2253600,283.2017
2257200,283.19797
2260800,283.194
2264400,283.1876
2268000,283.18274
2271600,283.17892
2275200,283.17596
2278800,283.1935
2282400,283.23355
2286000,283.292
2289600,283.33395
2293200,283.3462
2296800,283.32477
2300400,283.3008
2304000,283.2708
2307600,283.24048
2311200,283.22504
2314800,283.21582
2318400,283.21216
2322000,283.20938
2325600,283.2076
2329200,283.2052
2332800,283.20267
2336400,283.20493
2340000,283.20816
2343600,283.2104
2347200,283.21243
2350800,283.21277
2354400,283.21146
2358000,283.2107
2361600,283.2123
2365200,283.2388
2368800,283.33887
2372400,283.44016
2376000,283.50528
2379600,283.55188
2383200,283.56985
2386800,283.55106
2390400,283.48227
2394000,283.41068
2397600,283.37286
2401200,283.3461
2404800,283.32346
2408400,283.30585
2412000,283.298
2415600,283.2935
2419200,283.2879
2422800,283.276
2426400,283.2597
2430000,283.24603
2433600,283.2314
2437200,283.21826
2440800,283.20734
2444400,283.1972
2448000,282.6009
2451600,282.84195
2455200,282.8083
2458800,282.71622
2462400,282.75504
2466000,282.78665
2469600,282.84766
2473200,282.80917
2476800,282.80087
2480400,282.75854
2484000,283.3195
2487600,283.2499
2491200,283.25607
2494800,283.26218
2498400,283.25815
2502000,283.25464
2505600,283.24878
2509200,283.23517
2512800,283.22128
2516400,283.21124
2520000,283.2011
2523600,283.19263
2527200,283.1862
2530800,283.1755
2534400,282.5734
2538000,282.79483
2541600,282.7729
2545200,282.67224
2548800,282.7422
2552400,282.79236
2556000,282.84406
2559600,282.76013
2563200,282.7495
2566800,282.70926
2570400,283.2713
2574000,283.18018
2577600,283.17755
2581200,283.18213
2584800,283.17847
2588400,283.17227
2592000,283.16904
2595600,283.17175
2599200,283.17352
2602800,283.17075
2606400,283.16928
2610000,283.16766
2613600,283.16446
2617200,283.162
2620800,283.16605
2624400,283.1961
2628000,283.2565
2631600,283.30664
2635200,283.3349
2638800,283.33682
2642400,283.31912
2646000,283.2981
2649600,283.27664
2653200,283.25156
2656800,283.23007
2660400,283.21487
2664000,283.2058
2667600,283.1988
2671200,283.19394
2674800,283.1907
2678400,283.18887
2682000,283.19058
2685600,283.19138
2689200,283.19373
2692800,283.19757
2696400,283.20108
2700000,283.20483
2703600,283.2085
2707200,283.21475
2710800,283.22827
2714400,283.254
2718000,283.28317
2721600,283.30487
2725200,283.3194
2728800,283.33612
2732400,283.34528
2736000,283.3311
2739600,283.31342
2743200,283.30557
2746800,283.30038
2750400,283.29593
2754000,283.2921
2757600,283.28867
2761200,283.2841
2764800,283.28333
2768400,283.28314
2772000,283.28217
2775600,283.2837
2779200,283.28543
2782800,283.286
2786400,283.2843
2790000,283.28265
2793600,282.6497
2797200,282.92722
2800800,282.97928
2804400,282.99127
2808000,282.93954
2811600,282.9672
2815200,283.06055
2818800,283.03268
2822400,283.00568
2826000,282.91406
2829600,283.4188
2833200,283.3546
2836800,283.32175
2840400,283.3212
2844000,283.31622
2847600,283.3101
2851200,283.30804
2854800,283.30798
2858400,283.30585
2862000,283.30478
2865600,283.30148
2869200,283.29446
2872800,283.2874
2876400,283.28348
2880000,283.2866
2883600,283.30753
2887200,283.34204
2890800,283.3621
2894400,283.3817
2898000,283.40048
2901600,283.41348
2905200,283.42014
2908800,283.4145
2912400,283.40396
2916000,283.3987
2919600,283.39435
2923200,283.3925
2926800,283.39206
2930400,283.3918
2934000,283.3923
2937600,283.3924
2941200,283.39255
2944800,283.39334
2948400,283.3932
2952000,283.39142
2955600,283.3905
2959200,283.39078
2962800,283.39102
2966400,283.39383
2970000,283.40497
2973600,283.42517
2977200,283.4448
2980800,283.46066
2984400,283.4902
2988000,283.516
2991600,283.53107
2995200,283.5236
2998800,283.50424
3002400,283.49414
3006000,283.48746
3009600,283.48273
3013200,283.48224
3016800,283.4789
3020400,283.47095
3024000,283.46115
3027600,283.44986
3031200,283.43942
3034800,283.42935
3038400,283.42047
3042000,283.41266
3045600,283.40503
3049200,283.3985
3052800,282.75244
3056400,283.04385
3060000,283.0849
3063600,283.04297
3067200,283.01797
3070800,283.0167
3074400,283.04556
3078000,282.942
3081600,282.9214
3085200,282.87027
3088800,283.40417
3092400,283.35843
3096000,283.35013
3099600,283.35385
3103200,283.35464
3106800,283.35556
3110400,283.33624
3114000,283.3223
3117600,283.3198
3121200,283.3144
3124800,283.32043
3128400,283.31784
3132000,283.30002
3135600,283.29138
3139200,282.67078
3142800,282.96527
3146400,283.01556
3150000,283.05923
3153600,283.12384
3157200,283.05923
3160800,283.13953
3164400,283.1274
3168000,283.09564
3171600,283.00446
3175200,283.46823
3178800,283.42615
3182400,283.4059
3186000,283.4039
3189600,283.40082
3193200,283.40247
3196800,283.40298
3200400,283.4034
3204000,283.39252
3207600,283.3784
3211200,283.3679
3214800,283.35263
3218400,283.33173
3222000,283.31094
3225600,283.3032
3229200,283.30124
3232800,283.31146
3236400,283.31915
3240000,283.3336
3243600,283.36316
3247200,283.37604
3250800,283.35162
3254400,283.3208
3258000,283.29422
3261600,283.26962
3265200,283.25055
3268800,283.238
3272400,283.229
3276000,283.22247
3279600,283.21637
3283200,283.21188
3286800,283.20944
3290400,283.20935
3294000,283.2083
3297600,283.2054
3301200,283.20108
3304800,283.19455
3308400,283.18988
3312000,283.18674
3315600,283.22006
3319200,283.32172
3322800,283.4207
3326400,283.4869
3330000,283.5406
3333600,283.53384
3337200,283.50375
3340800,283.43134
3344400,283.3709
3348000,283.3293
3351600,283.2904
3355200,283.26288
3358800,283.2492
3362400,283.23398
3366000,283.22324
3369600,283.20786
3373200,283.19427
3376800,283.18457
3380400,283.18
3384000,283.17563
3387600,283.17117
3391200,283.1563
3394800,283.13684
3398400,282.55307
3402000,282.79303
3405600,282.7211
3409200,282.59048
3412800,282.69763
3416400,282.76367
3420000,282.8342
3423600,282.7898
3427200,282.80954
3430800,282.73486
3434400,283.27982
3438000,283.177
3441600,283.16757
3445200,283.16858
3448800,283.1608
3452400,283.1583
3456000,283.1552
3459600,283.14914
3463200,283.13696
3466800,283.12457
3470400,283.1165
3474000,283.09973
3477600,283.0877
3481200,283.08624
3484800,283.08673
3488400,283.108
3492000,283.13278
3495600,283.19287
3499200,283.29196
3502800,283.3608
3506400,283.3999
3510000,283.4062
3513600,283.35315
3517200,283.2944
3520800,283.24646
3524400,283.20175
3528000,283.17188
3531600,283.16168
3535200,283.14523
3538800,283.11975
